XPATH;ORIGINALTXT;TRANSLATEDTXT
"//catalog/category[attribute::category-id=""accessoires-cheveux""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";Sublimez votre coiffure grâce à nos kits d'accessoires pour cheveux. <br/>Design mode ou pensés pour le sport, nos kits s'adaptent à toutes les circonstances !;Perfecciona tu peinado gracias a nuestros kits de accesorios para pelo. <br/>Para un día de inspiración o para irte a hacer deporte, ¡nuestros kits se adaptan a todas las circunstancias!
"//catalog/category[attribute::category-id=""accessoires-cheveux""]/display-name[attribute::xml:lang=""fr-FR""]";Accessoires pour cheveux;Accesorios para el pelo
"//catalog/category[attribute::category-id=""accessoires-cheveux""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez la collection accessoires pour cheveux : headband, barette, serre tête, bijoux de tête - Sublimez votre coiffure grâce à BaByliss !;Descubre la colección de accesorios para el pelo: cinta para el pelo, hebilla, diadema, bisutería para el cabello: ¡embellece y decora tu peinado gracias a BaByliss!
"//catalog/category[attribute::category-id=""accessoires-cheveux""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Accessoires cheveux : découvrez notre gamme - BaByliss Paris;Accesorios para el pelo: descubre nuestra gama - BaByliss Paris
"//catalog/category[attribute::category-id=""accessoires-coiffure""]/display-name[attribute::xml:lang=""fr-FR""]";Accessoires coiffure;Accesorios pelo
"//catalog/category[attribute::category-id=""accessoires-maquillage""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";"Maquillez-vous comme une pro avec nos essentiels maquillages ! </br>
Grâce à notre gamme de pinceaux à maquillage, réussir son make-up est un jeu d'enfant.";"¡Maquíllate como un profesional con nuestros esenciales de maquillaje! </br>
Gracias a nuestra gama de brochas de maquillaje, maquillarse es un juego de niños."
"//catalog/category[attribute::category-id=""accessoires-maquillage""]/description[attribute::xml:lang=""fr-FR""]";Maquillez-vous comme une pro avec nos essentiels maquillages !;¡Maquíllate como una profesional con nuestros esenciales de maquillaje!
"//catalog/category[attribute::category-id=""accessoires-maquillage""]/display-name[attribute::xml:lang=""fr-FR""]";Gamme maquillage;Gama de maquillaje
"//catalog/category[attribute::category-id=""accessoires-maquillage""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez notre gamme accessoires maquillage : kit pinceau maquillage, pinceau kabuki, pinceau poudre - Maquillez-vous comme une pro grâce à BaByliss !;Descubre nuestra gama de accesorios de maquillaje: kit de brochas de maquillaje, brocha kabuki, brocha para polvo - ¡Maquíllate como una profesional gracias a BaByliss!
"//catalog/category[attribute::category-id=""accessoires-maquillage""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Accessoire maquillage : toute la gamme - BaByliss Paris;Accesorios de maquillaje: toda la gama - BaByliss Paris
"//catalog/category[attribute::category-id=""barbe""]/display-name[attribute::xml:lang=""fr-FR""]";Barbe;Barba
"//catalog/category[attribute::category-id=""beaute""]/description[attribute::xml:lang=""fr-FR""]";Tous les outils pour votre beauté;Todos los utensilios para tu belleza
"//catalog/category[attribute::category-id=""beaute""]/display-name[attribute::xml:lang=""fr-FR""]";Beauté;Belleza
"//catalog/category[attribute::category-id=""brosse-lissante""]/display-name[attribute::xml:lang=""fr-FR""]";Brosses lissantes;Cepillos alisadores
"//catalog/category[attribute::category-id=""brosse-lissante""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez la brosse lissante Liss Brush 3D et la Sublime brush : les brosses lissantes chauffantes indispensable pour vos coiffures grâce à leurs fonctions ioniques !;Descubre el cepillo alisador Liss Brush 3D y el Sublime brush: ¡los cepillos alisadores térmicos, indispensables para cualquier nivel de peinado gracias sobre todo a su doble generador de iones!
"//catalog/category[attribute::category-id=""brosse-lissante""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Brosses lissantes - BaByliss Paris;Cepillos alisadores - BaByliss Paris
"//catalog/category[attribute::category-id=""brosses-a-cheveux""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";Redonnez vie à vos cheveux grâce aux brosses BaByliss Paris. <br/>Elaborée pour le soin du cheveu et adaptée à tous les types de cheveux, notre gamme <br/>lisse, renforce et respecte vos cheveux.;Haz que tu cabello reviva gracias a los cepillos BaByliss Paris. <br/>Elaborada para el cuidado del cabello y adaptada a todos los tipos de cabello, nuestra gama <br/>alisa, refuerza y respeta tu pelo.
"//catalog/category[attribute::category-id=""brosses-a-cheveux""]/display-name[attribute::xml:lang=""fr-FR""]";Brosses;Cepillos
"//catalog/category[attribute::category-id=""brosses-a-cheveux""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos brosses à cheveux et peignes : brosse poil de sanglier, brosse brushing, peigne cheveux - Coiffage soin pour lisser, démêler, renforcer;Descubre nuestros cepillos y peines para el pelo: cepillo de cerdas de jabalí, fibra de nylon cepillo para brushing, peine para cabello - Cuidado del cabello para alisar, desenredar y reforzar
"//catalog/category[attribute::category-id=""brosses-a-cheveux""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Brosse : découvrez notre gamme - BaByliss Paris;Cepillo: descubre nuestra gama - BaByliss Paris
"//catalog/category[attribute::category-id=""brosse-soufflante""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";La brosse soufflante : tout simplement l'allié du brushing ! <br/>Donnez du volume aux cheveux courts et mi-longs grâce à nos modèles <br/>classiques, révélez vos boucles naturelles ou domptez les mèches rebelles avec nos brosses soufflantes rotatives. <br/>La mise en forme est simplifiée : obtenez en quelques minutes des cheveux soyeux et brillants !;El cepillo moldeador: ¡el aliado para el cepillado! <br/>Dale volumen al pelo corto y medias melenas con nuestros modelos <br/>clásicos, destaca tus rizos naturales o controla los mechones rebeldes con nuestros cepillos moldeadores giratorios. <br/>Dar forma a tu pelo es más sencillo: ¡consigue en unos minutos un cabello sedoso y brillante!
"//catalog/category[attribute::category-id=""brosse-soufflante""]/display-name[attribute::xml:lang=""fr-FR""]";Brosses Soufflantes;Cepillos moldeadores
"//catalog/category[attribute::category-id=""brosse-soufflante""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos brosses soufflantes : brosse soufflante lissante ou brosse soufflante rotative - Brushing facile pour un cheveu soyeux !;Descubre nuestros cepillos moldeadores: cepillo moldeador alisador o cepillo moldeador giratorio - ¡Cepillado fácil para un pelo sedoso!
"//catalog/category[attribute::category-id=""brosse-soufflante""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Brosse soufflante : Découvrez notre gamme - BaByliss Paris;Cepillo moldeador: Descubre nuestra gama - BaByliss Paris
"//catalog/category[attribute::category-id=""cheveux""]/display-name[attribute::xml:lang=""fr-FR""]";Cheveux;Pelo
"//catalog/category[attribute::category-id=""coffret-homme""]/display-name[attribute::xml:lang=""fr-FR""]";Coffret;Estuche
"//catalog/category[attribute::category-id=""corps""]/display-name[attribute::xml:lang=""fr-FR""]";Corps;Cuerpo
"//catalog/category[attribute::category-id=""curl-secret""]/display-name[attribute::xml:lang=""fr-FR""]";Curl Secret;Curl Secret
"//catalog/category[attribute::category-id=""curl-secret""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";L'iconique Curl Secret : le boucleur automatique ionique révolutionnaire ! Avec sa facilité d'utilisation, obtenez des boucles rapidement et sans effort !;El icónico Curl Secret: ¡el revolucionario rizador 100% automático e iónico! Con su facilidad de uso, ¡consigue unos rizos rápidamente y sin esfuerzo!
"//catalog/category[attribute::category-id=""curl-secret""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Curl Secret : LE boucleur automatique - BaByliss Paris;Curl Secret: El  rizador automático  - BaByliss Paris
"//catalog/category[attribute::category-id=""editionslimitees""]/display-name[attribute::xml:lang=""fr-FR""]";Nos éditions limitées;Nuestras ediciones limitadas
"//catalog/category[attribute::category-id=""entretien-barbe""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";"Faites plaisir à votre moitié et arborez une barbe douce !<br/>
Découvrez notre gamme soin de la barbe : brosse à barbe… <br/>
Obtenez un poil soyeux, brillant et résistant en un tour de main comme au sortir du barbier !";"¡Complace a tu pareja y luce una barba suave!<br/>
Descubre nuestra gama para el cuidado de la barba: cepillo para barba… <br/>
¡Consigue en un momento un vello sedoso, brillante y resistente, como recién salido de la barbería!"
